"method","path","name"
"POST","/api/v3/enhanced_charts/personal-analysis","Night Chart - Sect Analysis"
"POST","/api/v3/fixed-stars/conjunctions","Essential stars conjunctions"
"POST","/api/v3/fixed-stars/positions","All star positions"
"GET","/api/v3/fixed-stars/presets","Fixed Stars Presets Info"
"POST","/api/v3/fixed-stars/report","Traditional stars report"
"GET","/api/v3/glossary/active-points","Get Active Points"
"GET","/api/v3/glossary/active-points/primary","Get Primary Active Points"
"GET","/api/v3/glossary/cities","Get Cities"
"GET","/api/v3/glossary/countries","Get Countries"
"GET","/api/v3/glossary/elements","Get Elements Glossary Endpoint"
"GET","/api/v3/glossary/fixed-stars","Get Fixed Stars"
"GET","/api/v3/glossary/horary-categories","Get Horary Categories"
"GET","/api/v3/glossary/houses","Get Houses Glossary"
"GET","/api/v3/glossary/house-systems","Get House Systems"
"GET","/api/v3/glossary/keywords","Get Astrological Keywords"
"GET","/api/v3/glossary/languages","Get Languages"
"GET","/api/v3/glossary/life-areas","Get Life Areas"
"GET","/api/v3/glossary/themes","Get Themes"
"GET","/api/v3/glossary/zodiac-types","Get Zodiac Types"
"GET","/api/v3/health/","Health Check"
"GET","/api/v3/health/debug/timezone","Debug TimezoneFinder"
"POST","/api/v3/horary/analyze","Love - Marriage Question"
"POST","/api/v3/horary/chart","Using Coordinates"
"POST","/api/v3/horary/fertility-analysis","Russian Language Response"
"GET","/api/v3/horary/glossary/categories","Get Categories Glossary"
"GET","/api/v3/horary/glossary/considerations","Get Considerations Glossary"
"POST","/api/v3/horoscope/chinese/bazi","BaZi Four Pillars Analysis"
"POST","/api/v3/horoscope/personal/daily","High Precision Analysis - New York"
"POST","/api/v3/horoscope/personal/daily/text","Berlin - German Short Preview"
"POST","/api/v3/horoscope/personal/monthly","Using Coordinates - Classical Tradition"
"POST","/api/v3/horoscope/personal/monthly/text","Specific Month - German Long Format"
"POST","/api/v3/horoscope/personal/weekly","Current Week - Universal Tradition"
"POST","/api/v3/horoscope/personal/weekly/text","Specific Week - Russian Bullets"
"POST","/api/v3/horoscope/personal/yearly","Next Year (2026) - Classical Tradition"
"POST","/api/v3/horoscope/personal/yearly/text","Current Year - English Paragraph"
"POST","/api/v3/horoscope/sign/daily","Leo Daily Horoscope - Specific Date"
"POST","/api/v3/horoscope/sign/daily/text","Scorpio - Detailed with Emoji"
"POST","/api/v3/horoscope/sign/monthly","Virgo Monthly Horoscope - March 2024"
"POST","/api/v3/horoscope/sign/monthly/text","Leo - Short Preview"
"POST","/api/v3/horoscope/sign/weekly","Gemini Weekly Horoscope - Current Week"
"POST","/api/v3/horoscope/sign/weekly/text","Taurus - Russian Language"
"POST","/api/v3/horoscope/sign/yearly","Capricorn Yearly Horoscope - 2024"
"POST","/api/v3/horoscope/sign/yearly/text","Scorpio - 2025 Long Format"
"GET","/api/v3/insights/","Discover Insights"
"POST","/api/v3/insights/business/business-timing","Calculate Business Timing"
"POST","/api/v3/insights/business/department-compatibility","Simple department names (recommended)"
"POST","/api/v3/insights/business/hiring-compatibility","Executive hiring"
"POST","/api/v3/insights/business/leadership-style","Team leader assessment"
"POST","/api/v3/insights/business/succession-planning","CEO succession planning"
"POST","/api/v3/insights/business/team-dynamics","Development team analysis"
"POST","/api/v3/insights/financial/bradley-siderograph","Legacy test format support"
"POST","/api/v3/insights/financial/crypto-timing","Crypto timing analysis"
"POST","/api/v3/insights/financial/forex-timing","Analyze Forex Timing"
"POST","/api/v3/insights/financial/gann-analysis","Calculate Gann Cycles"
"POST","/api/v3/insights/financial/market-timing","Market timing analysis"
"POST","/api/v3/insights/financial/personal-trading","Personal trading analysis (standard format)"
"POST","/api/v3/insights/pet/compatibility","Human-dog compatibility analysis"
"POST","/api/v3/insights/pet/health-sensitivities","Persian cat health analysis"
"POST","/api/v3/insights/pet/multi-pet-dynamics","Three dog pack"
"POST","/api/v3/insights/pet/personality","Golden Retriever personality analysis"
"POST","/api/v3/insights/pet/training-windows","Dog obedience training"
"GET","/api/v3/insights/relationship/","Discover Relationship Insights"
"POST","/api/v3/insights/relationship/compatibility","International relationship"
"POST","/api/v3/insights/relationship/compatibility-score","Quick compatibility score"
"POST","/api/v3/insights/relationship/davison","Ukrainian couple Davison chart"
"POST","/api/v3/insights/relationship/love-languages","Individual love language style"
"POST","/api/v3/insights/relationship/red-flags","Dating profile insights"
"POST","/api/v3/insights/relationship/timing","Wedding date planning"
"POST","/api/v3/insights/wellness/biorhythms","Calculate biorhythms for today"
"POST","/api/v3/insights/wellness/body-mapping","Body mapping analysis for Oleg"
"POST","/api/v3/insights/wellness/energy-patterns","Energy pattern analysis for Oleg"
"POST","/api/v3/insights/wellness/moon-wellness","Moon wellness calendar for Oleg"
"POST","/api/v3/insights/wellness/wellness-score","Wellness score calculation for Oleg"
"POST","/api/v3/insights/wellness/wellness-timing","Surgery timing optimization"
"GET","/api/v3/lunar/calendar/:year","Get Annual Lunar Calendar"
"POST","/api/v3/lunar/events","Find Rare Events"
"POST","/api/v3/lunar/mansions","Arabian Tropical Mansions"
"POST","/api/v3/lunar/phases","London Current Phases"
"POST","/api/v3/lunar/void-of-course","Modern VOC with Outer Planets"
"POST","/api/v3/numerology/compatibility","Business Partnership Analysis"
"POST","/api/v3/numerology/comprehensive","Spanish Language - Espa??ol"
"POST","/api/v3/numerology/core-numbers","Compare Both Systems"
"POST","/api/v3/render/composite","Composite Chart (SVG)"
"POST","/api/v3/render/natal","???? Cosmic Purple Theme"
"POST","/api/v3/render/synastry","Relationship Chart (SVG)"
"POST","/api/v3/render/transit","Current Transits"
"POST","/api/v3/svg/composite","Dark Theme Composite Chart"
"POST","/api/v3/svg/natal","Dark Theme Chart"
"POST","/api/v3/svg/synastry","Romantic Couple Visualization"
"POST","/api/v3/svg/transit","Current Transit Visualization"
"POST","/api/v3/tarot/analysis/birth-cards","Legacy Format (Backward Compatible)"
"POST","/api/v3/tarot/analysis/dignities","Celtic Cross Dignities"
"POST","/api/v3/tarot/analysis/natal-report","Career Potential Analysis"
"POST","/api/v3/tarot/analysis/optimal-times","Career Question Timing"
"POST","/api/v3/tarot/analysis/quintessence","Celtic Cross quintessence"
"POST","/api/v3/tarot/analysis/timing","Basic Timing Analysis"
"POST","/api/v3/tarot/analysis/transit-report","Relationship Transit Analysis"
"GET","/api/v3/tarot/cards/daily","Get Daily Card"
"POST","/api/v3/tarot/cards/draw","Celtic Cross draw"
"GET","/api/v3/tarot/cards/search","Search Cards"
"GET","/api/v3/tarot/glossary/cards","Get Tarot Cards Glossary"
"GET","/api/v3/tarot/glossary/cards/:card_id","Get Card Detail"
"GET","/api/v3/tarot/glossary/spreads","Get Tarot Spreads Glossary"
"POST","/api/v3/tarot/reports/celtic-cross","Celtic Cross with Elemental Dignities"
"POST","/api/v3/tarot/reports/houses","Complete Houses Analysis"
"POST","/api/v3/tarot/reports/single","Love life guidance"
"POST","/api/v3/tarot/reports/synastry","Complete Synastry Analysis"
"POST","/api/v3/tarot/reports/three-card","Situation analysis"
"POST","/api/v3/tarot/reports/tree-of-life","Spiritual Journey Focus"
"POST","/api/v3/traditional/analysis","Hellenistic Traditional Analysis"
"POST","/api/v3/traditional/analysis/annual-profection","Specific Age Analysis"
"POST","/api/v3/traditional/analysis/profection-timeline","Complete Life Overview"
"GET","/api/v3/traditional/capabilities","Get Traditional Capabilities"
"POST","/api/v3/traditional/dignities","Complete Dignity Analysis"
"GET","/api/v3/traditional/glossary/dignities","Get Dignities Glossary"
"GET","/api/v3/traditional/glossary/profection-houses","Get Profection Houses Glossary"
"GET","/api/v3/traditional/glossary/traditional-points","Get Traditional Points Glossary"
"POST","/api/v3/traditional/lots","Arabic Parts/Lots Calculation"
"POST","/api/v3/traditional/profections","General Profections Analysis"
"POST","/api/v3/vedic/ashtakvarga","Complete Ashtakvarga with Sarvashtakvarga"
"POST","/api/v3/vedic/birth-details","Delhi birth with Lahiri ayanamsa"
"POST","/api/v3/vedic/chara-dasha","Extended 180-year calculation"
"POST","/api/v3/vedic/chart","North Indian - Dark Theme + English"
"POST","/api/v3/vedic/chart/render/:format","Render Vedic Chart"
"POST","/api/v3/vedic/divisional-chart","Career analysis (D1, D9, D10)"
"POST","/api/v3/vedic/festival-calendar","Major national festivals only"
"POST","/api/v3/vedic/kaal-sarpa-dosha","Check without remedies"
"POST","/api/v3/vedic/kp-system","Planets only (no significators)"
"POST","/api/v3/vedic/kundli-matching","Compatible couple (high score)"
"POST","/api/v3/vedic/manglik-dosha","Partial Manglik with cancellation"
"POST","/api/v3/vedic/nakshatra-predictions","Predictions for a specific date"
"POST","/api/v3/vedic/panchang","Delhi Panchang"
"POST","/api/v3/vedic/regional-panchang","Karnataka with Kannada names"
"POST","/api/v3/vedic/remedies","All remedy types"
"POST","/api/v3/vedic/sade-sati","Current Sade-Sati status"
"POST","/api/v3/vedic/shadbala","Complete Shadbala strength analysis"
"POST","/api/v3/vedic/transit","Transits for a specific date"
"POST","/api/v3/vedic/varshaphal","Direct coordinates"
"POST","/api/v3/vedic/vimshottari-dasha","Full Dasha sequence with all levels"
"POST","/api/v3/vedic/yoga-analysis","Pancha Mahapurusha analysis"
"POST","/api/v3/vedic/yogini-dasha","Basic Yogini Dasha calculation"
